slug	mode	bg	surface-1	surface-2	surface-3	border	field	text	text-soft	text-faint	accent	accent-deep	accent-2	accent-soft	on-accent	good	warn	bad	info	data-1	data-2	data-3	data-4
alpine	dark	#21262f	#1b2029	#2a303a	#313843	#5a6273	#333a45	#eff1f5	#abb0bb	#7d828d	#ff3d9e	#c9237b	#4f9fe0	#4a1b30	#fef1f5	#35c48a	#d8ab4f	#d64f3f	#56a0dd	#4f9fe0	#e07bad	#46c48a	#e0a84f
alpine-light	light	#f4f7fa	#feffff	#e8eef4	#dce4ec	#c9d3de	#feffff	#21262f	#4a525f	#7d828d	#ff3d9e	#c9237b	#4f9fe0	#fedbe8	#ecf4fc	#35c48a	#d8ab4f	#d64f3f	#56a0dd	#4f9fe0	#e07bad	#46c48a	#e0a84f
americana	light	#f7f7fa	#fefeff	#eeeef2	#e3e3ea	#cfcfda	#fefeff	#3a3352	#5d5578	#837b9c	#b83a3f	#8f2a2f	#443a6e	#f2dada	#fefcfc	#2f9165	#aa8038	#ba3a34	#4d4488	#4f9fe0	#e07bad	#46c48a	#e0a84f
americana-dark	dark	#1c1a2a	#232135	#2c2a40	#34314a	#4a4668	#2c2a40	#f2eff8	#b0aac5	#837b9c	#b83a3f	#8f2a2f	#443a6e	#402a2d	#fefcfc	#2f9165	#aa8038	#ba3a34	#4d4488	#4f9fe0	#e07bad	#46c48a	#e0a84f
aston-martin	dark	#1c2723	#17211d	#26322c	#2c3833	#4d635b	#2e3a34	#eff6f2	#a9b9b1	#74847c	#2e9d61	#0b703f	#a5e84f	#11331f	#ecfaf6	#38c48c	#d8ab4f	#d64f3f	#63aecc	#4f9fe0	#e07bad	#46c48a	#e0a84f
aston-martin-light	light	#f2f8f6	#fdfffe	#e6f0ec	#dae6e2	#c7d5cf	#fdfffe	#1c2723	#3f5650	#74847c	#2e9d61	#0b703f	#a5e84f	#cdf1d8	#ecfaf6	#38c48c	#d8ab4f	#d64f3f	#63aecc	#4f9fe0	#e07bad	#46c48a	#e0a84f
audi	dark	#212228	#1c1d22	#2a2b31	#313239	#57585f	#333440	#f2f2f4	#adadb3	#797a80	#b3bcc5	#80878e	#d0473c	#292e34	#101418	#35c48a	#d8ab4f	#d84334	#63bce0	#4f9fe0	#e07bad	#46c48a	#e0a84f
audi-light	light	#f6f6f8	#ffffff	#ececf0	#e0e0e6	#cdcdd5	#ffffff	#212228	#4c4d55	#797a80	#b3bcc5	#80878e	#d0473c	#e4e8ed	#fceceb	#35c48a	#d8ab4f	#d84334	#63bce0	#4f9fe0	#e07bad	#46c48a	#e0a84f
cadillac	dark	#1e2032	#191b2c	#282a3e	#2f3145	#565a76	#303247	#eff0f8	#a9adc5	#797d97	#d3a83f	#a67f22	#c8402f	#40331d	#2a2210	#35c48a	#ddb44a	#d64f3f	#6fa2d0	#4f9fe0	#e07bad	#46c48a	#e0a84f
cadillac-light	light	#f5f6fa	#fefeff	#e9ebf3	#dde0eb	#cacfdd	#fefeff	#1e2032	#4d5270	#797d97	#d3a83f	#a67f22	#c8402f	#f3e4c4	#2a2210	#35c48a	#ddb44a	#d64f3f	#6fa2d0	#4f9fe0	#e07bad	#46c48a	#e0a84f
carbon	dark	#17181d	#1c1e24	#24272f	#2c3039	#3a3f4b	#24272f	#e8eaef	#a2a8b5	#71778a	#5b8def	#3a6bd0	#e07bad	#23304a	#0f1626	#35c48a	#d8ab4f	#d64f3f	#56a0dd	#4f9fe0	#e07bad	#46c48a	#e0a84f
carbon-light	light	#f6f7f9	#ffffff	#eef0f4	#e3e6ec	#d3d8e2	#ffffff	#1b1e26	#4a5060	#737a8a	#5b8def	#3a6bd0	#e07bad	#dbe6fb	#ffffff	#35c48a	#d8ab4f	#d64f3f	#56a0dd	#4f9fe0	#e07bad	#46c48a	#e0a84f
default-dark	dark	#1b1c1e	#212326	#282a2e	#303338	#3d4046	#282a2e	#eceef1	#a8acb3	#787d85	#00e0ff	#00a8c4	#ff9500	#00303a	#001419	#4fbe8b	#d4a24f	#d4655a	#7fa8d4	#4f9fe0	#e07bad	#46c48a	#e0a84f
default-light	light	#f7f8f9	#ffffff	#eef0f2	#e3e6e9	#ccd1d6	#ffffff	#1e2023	#565b62	#858b93	#7a00cc	#5a0099	#cc0077	#ecd6ff	#ffffff	#1a6b47	#8a5410	#b3271c	#2f6699	#4f9fe0	#e07bad	#46c48a	#e0a84f
default-theme	mid	#8f8f8f	#a0a0a0	#b0b0b0	#bfbfbf	#565656	#ababab	#1c1c1c	#3f3f3f	#5b5b5b	#353535	#222222	#515151	#cccccc	#f6f6f6	#757575	#656565	#3f3f3f	#5b5b5b	#4f9fe0	#e07bad	#46c48a	#e0a84f
eos	dark	#0f141c	#172030	#1d2838	#26334a	#41526e	#0b0f16	#dce4ef	#96a4b8	#7a8799	#7aa3d4	#4a7cb0	#b08ade	#1a2b42	#0c1118	#4fb583	#d9a83c	#e06f62	#4fb4e8	#4f9fe0	#e07bad	#46c48a	#e0a84f
eos-light	light	#f4f3f6	#ffffff	#ecebf0	#e0dfe6	#ccc9d5	#ffffff	#241f2b	#565160	#837e8e	#c400a8	#8f0079	#0059ff	#ffd6f6	#ffffff	#1a6b47	#8a5410	#b3271c	#2a6ba8	#4f9fe0	#e07bad	#46c48a	#e0a84f
ferrari	dark	#2b201e	#241a18	#332724	#3a2d29	#64504a	#3d2f2b	#f6efee	#b9a9a5	#86746f	#d83f38	#a82a24	#ecd44f	#4a2620	#fcecea	#35c48a	#e0bd4a	#d84334	#63bce0	#4f9fe0	#e07bad	#46c48a	#e0a84f
ferrari-light	light	#faf5f4	#fffdfc	#f2e9e8	#e8dcda	#d8c9c6	#fffdfc	#2b201e	#6b5551	#94807b	#d83f38	#a82a24	#ecd44f	#f7dcda	#fcecea	#35c48a	#e0bd4a	#d84334	#63bce0	#4f9fe0	#e07bad	#46c48a	#e0a84f
haas	light	#faf7f6	#fefefe	#f2edec	#e6dedc	#d9cdca	#fefefe	#362e2c	#6b5f5c	#948680	#b11745	#85002d	#2f2b2c	#fed6d9	#fefcfc	#2e9268	#a67c2e	#bf4436	#3a7fb5	#4f9fe0	#e07bad	#46c48a	#e0a84f
haas-dark	dark	#1e1b1a	#262220	#302b29	#3a3330	#524a47	#302b29	#f2eded	#b3a8a5	#857a76	#b11745	#85002d	#2f2b2c	#4b1d24	#fefcfc	#2e9268	#a67c2e	#bf4436	#3a7fb5	#4f9fe0	#e07bad	#46c48a	#e0a84f
maw-dark-utility	dark	#2a2d33	#333740	#3c414b	#434955	#656d7c	#3c414b	#eef0f3	#a7adb8	#7b818d	#46b8cf	#2e8ba0	#6fccd6	#26414a	#10262c	#35c48a	#d8ab4f	#d64f3f	#56a8dd	#4f9fe0	#e07bad	#46c48a	#e0a84f
